央视,#genre#
BTV文艺[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226435/index.m3u8
BTV新闻[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226512/index.m3u8
BTV生活[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226514/index.m3u8
BTV科教[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226434/index.m3u8
BTV财经[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226516/index.m3u8
BTV青年[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226513/index.m3u8
CGTN[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226404/index.m3u8
CGTN[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226443/index.m3u8
CGTN纪录[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226403/index.m3u8
三沙卫视[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226544/index.m3u8
上海哈哈炫动[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226421/index.m3u8
东南卫视[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226517/index.m3u8
东方卫视[576P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226519/index.m3u8
